author_name	author_date	author_gender	author_viaf	title	novel_id	first_edition	num_word	size	time_slot	canonicity
Rákosi Jenő	1842-1929	M	84419870	A legnagyobb bolond	HU07704	1882	71989	medium	T3	low
Rákosi Viktor	1860-1923	M	58030320	A bujtogatók ; Téli rege	HU10391	1893	58730	medium	T3	low
Rákosi Viktor	1860-1923	M	58030320	A buzsáki királyság	HU10469	1911	29369	short	T4	low
Rákosi Viktor	1860-1923	M	58030320	A falu meg a város	HU10485	1904	56871	medium	T4	low
Rákosi Viktor	1860-1923	M	58030320	Bobby és Csiba	HU17518	1912	25430	short	T4	low
Rákosi Viktor	1860-1923	M	58030320	Elnémult harangok	HU03814	1903	69792	medium	T4	high
Rákosi Viktor	1860-1923	M	58030320	Galambos Pál naplója	HU10144	1903	38673	short	T4	low
Rákosi Viktor	1860-1923	M	58030320	Hős fiúk	HU16264	1900	45211	short	T4	low
Rákosi Viktor	1860-1923	M	58030320	Kiárendált urak	HU10469_1	1911	28152	short	T4	low
Rákosi Viktor	1860-1923	M	58030320	Kóborlások itthon, meg idegen földön	HU10440	1903	59919	medium	T4	low
Rákosi Viktor	1860-1923	M	58030320	Korhadt fakeresztek : képek a magyar szabadságról  : ELTeC edition	HU06784	1899	34574	short	T3	high
Rákosi Viktor	1860-1923	M	58030320	Polgárháború ; Egy falusi Hamlet	HU10176	1897	27311	short	T3	low
Rejtő Jenő	1905-1943	M	54974682	A boszorkánymester	HU01025	1970	38598	short	T7	high
Rejtő Jenő	1905-1943	M	54974682	A drótnélküli gyilkosság	HU01027	1938	10155	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	A fehér folt	HU01032	1938	35185	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	A láthatatlan légió	HU01034	1939	44603	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	A néma revolverek városa	HU01037	1969	44388	short	T7	high
Rejtő Jenő	1905-1943	M	54974682	A pokol zsoldosai	HU01048	1936	45386	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	A tizennégy karátos autó	HU01044	1958	46774	short	T6	high
Rejtő Jenő	1905-1943	M	54974682	Az elátkozott part	HU01029	1940	41325	short	T6	high
Rejtő Jenő	1905-1943	M	54974682	Az ellopott futár	HU01033	1941	41775	short	T6	high
Rejtő Jenő	1905-1943	M	54974682	Az előretolt helyőrség	HU01030	1939	48728	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Az elsikkasztott pénztáros	HU01023	1938	12923	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Az elveszett cirkáló	HU01028	1938	32866	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Bradley Tamás visszaüt	HU01026	1939	32970	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Csontbrigád	HU01109	1941	59346	medium	T6	high
Rejtő Jenő	1905-1943	M	54974682	Egy bolond száz bajt csinál	HU01024	1969	27102	short	T7	high
Rejtő Jenő	1905-1943	M	54974682	Ezen egy éjszaka	HU01031	1969	54565	medium	T7	high
Rejtő Jenő	1905-1943	M	54974682	Menni vagy meghalni	HU01036	1937	38004	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Nincs kegyelem	HU01172	1992	25471	short	T8	high
Rejtő Jenő	1905-1943	M	54974682	Pipacs, a fenegyerek	HU01173	1939	11486	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Pokol a hegyek között	HU01039	1939	40022	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Texas Bill, a fenegyerek	HU01042	1939	32721	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Tigrisvér	HU01043	1940	34665	short	T5	high
Rejtő Jenő	1905-1943	M	54974682	Vanek úr Párizsban	HU01046	1986	54169	medium	T8	high
Rejtő Jenő	1905-1943	M	54974682	Vissza a pokolba	HU01040	1936	12980	short	T5	low
Réti Ödön	1871-1939	M	noViaf	Zorka	HU17128	1924	27782	short	T5	low
Ritoók Emma	1868-1945	F	121446803	A nagy véletlen : ELTeC edition	HU16824	1908	47729	short	T4	low
Ritoók Emma	1868-1945	M	121446803	Gyárfás Sándor két élete	HU17771	1934	70079	medium	T5	low
Ritoók Emma	1868-1945	F	121446803	Tévelygők	HU17805	1938	74585	medium	T5	low
Sebők Zsigmond	1861-1916	M	61561938	A bogarak háborúja	HU04157	1911	18964	short	T4	low
Surányi Miklós	1882-1936	M	44663835	A csodavárók	HU08369	1933	179269	long	T5	low
Surányi Miklós	1882-1936	M	44663835	A nápolyi asszony	HU04452	1924	131553	long	T5	high
Surányi Miklós	1882-1936	M	44663835	A szent hegy	HU08279	1917	59232	medium	T4	low
Surányi Miklós	1882-1936	M	44663835	A vízözön	HU08643	1925	21922	short	T5	low
Surányi Miklós	1882-1936	M	44663835	Az örvény	HU08603	1924	17124	short	T5	low
Surányi Miklós	1882-1936	M	44663835	Dávid és Góliát	HU08267	1933	31848	short	T5	low
Surányi Miklós	1882-19361	M	44663835	Egyedül vagyunk	HU04792	1936	277957	long	T5	high
Surányi Miklós	1882-1936	M	44663835	És mégsem véletlen	HU08848	1927	12762	short	T5	low
Surányi Miklós	1882-1936	M	44663835	Káin és Ábel	HU08602	1924	18817	short	T5	low
Surányi Miklós	1882-1936	M	44663835	Kantate	HU01067_1	1918	40310	short	T4	low
Surányi Miklós	1882-1936	M	44663835	Noé bárkája	HU01067_2	1918	51949	medium	T5	low
Szabó Dezső	1879-1945	M	37040595	Csodálatos élet	HU16856	1921	100627	long	T5	high
Szalay Hedvig	?	F	noViaf	A Magura alján	HU03041	1932	41251	short	T5	low
Szemere György	1863–1930	M	121485073	A Dobay-ház	HU11449	1901	45566	short	T4	low
Szemere György	1866-1952	M	121485073	A Kont-eset :  Fantasztikus regény a XXI. századból  : ELTeC edition	HU13316	1911	52170	medium	T4	low
Szemere György	1863-1930	M	121485073	A kótaji csudakovács	HU12599	1921	28664	short	T5	low
Szemere György	1863–1930	M	121485073	A madarasi király	HU11286	1904	22409	short	T4	low
Szerb Antal	1901-1945	M	49264007	Utas és holdvilág	HU01080	1937	61824	medium	T5	high
Szini Gyula	1876-1932	M	65619458	Jókai	HU07060	1925	47610	short	T5	high
Szomaházy István	1864-1927	M	73382097	A csipkeverő leány : Regény : ELTeC edition	HU10428	1920	30933	short	T4	low
Szomaházy István	1864-1925	M	73382097	A kétszívű Pethő	HU08828	1909	28925	short	T4	low
Szomaházy István	1864-1927	M	73382097	Meseváros	HU15853	1915	32272	short	T4	low
Szomaházy István	1864-1925	M	73382097	Muzsikáló óra	HU08571	1916	30931	short	T4	low
Szomaházy István	1864-1925	M	73382097	Villányi professzor	HU08476	1926	35276	short	T5	low
Szomory Dezső	1869-1944	M	7514721	A párizsi regény	HU18711	1929	91179	medium	T5	high
Tábori Róbert	1855-1906	M	73060469	A negyvenéves férfiú	HU13418	1898	28848	short	T3	low
Tábori Róbert	1855–1906	M	73060469	A templom kulcsa	HU16345	1893	21072	short	T3	low
Tábori Róbert	1855-1906	M	73060469	Görbe hegyek országában : Regény : ELTeC edition	HU16328	1891	24832	short	T3	low
Tábori Róbert	1855–1906	M	73060469	Megfagyott pezsgő	HU12881	1899	24089	short	T3	low
Teleki Sándorné	1864-1937	F	309595549	A fölfelé züllők	HU17832	1904	50639	medium	T4	low
Teleki Sándorné	1864-1937	F	309595549	A nagy-nagy kerék	HU18729	1923	48473	short	T4	low
Teleki Sándorné	1864-1937	F	309595549	A tóparti remete	HU18522	1926	23042	short	T5	low
Teleki Sándorné	1864-1937	F	309595549	Ez az!	HU18579	1915	33035	short	T4	low
Teleki Sándorné	1864-1937	F	309595549	Judith	HU18482	1910	31686	short	T4	low
Teleki Sándorné	1864-1937	F	309595549	Tabu :  Regény  : ELTeC edition	HU17606	1919	57333	medium	T4	low
Toldy István	1844-1879	M	56032353	Anatole :  Regény  : ELTeC edition	HU07694	1872	47843	short	T2	low
Tolnai Lajos	1837-1902	M	6903976	A báróné ténsasszony	HU07738	1882	88693	medium	T3	low
Tolnai Lajos	1837-1902	M	6903976	A grófné ura	HU14501	1897	25906	short	T3	low
Tolnai Lajos	1837-1902	M	6903976	A polgármester úr	HU08500	1885	78233	medium	T3	low
Tolnai Lajos	1837-1902	M	6903976	A szentistváni Kéry-család	HU09485_1	1886	16239	short	T3	low
Tolnai Lajos	1837-1902	M	6903976	Az új főispán	HU08462	1886	96069	medium	T3	low
Tolnai Lajos	1837-1902	M	6903976	Csak egy asszony!	HU16178	1891	21340	short	T3	low
Tolnai Lajos	1837-1902	M	6903976	Dániel pap lesz	HU16143	1885	29748	short	T3	low
Tolnai Lajos	1837-1902	M	6903976	Életképek : ELTeC edition	HU14664	1867	50764	medium	T2	low
Tolnai Lajos	1837-1902	M	6903976	Jubilánsok	HU09485	1886	26196	short	T3	low
Tormay Cécile	1876-1937	F	49267950	A régi ház	HU07264	1914	48626	short	T4	high
Tormay Cécile	1876-1937	F	49267950	Bujdosó könyv	HU17435	1920	160251	long	T4	high
Török Gyula	1888-1919	M	72194515	A porban	HU05104	1917	102039	long	T4	low
Török Gyula	1888-1918	M	72194515	A zöldköves gyűrű : Regény : ELTeC edition	HU09105	1918	84038	medium	T4	high
Török Gyula	1888-1919	M	72194515	Fehér virág	HU12270	1919	24445	short	T4	low
Vachott Sándorné	1828-1896	F	6242151353538652720008	Derű és ború	HU00011	1854	65112	medium	T1	low
Vachott Sándorné	1828-1896	F	6242151353538652720008	Irma hagyományai	HU00012	1859	47321	short	T1	low
Vachott Sándorné	1828-1896	F	6242151353538652720008	Margit	HU19018	1857	63890	medium	T1	low
Vadnai Károly	1832-1902	M	120125275	A kis tündér : Regény : ELTeC edition	HU07703	1860	60854	medium	T2	low
Vas Gereben	1823-1868	M	36952007	A nemzet napszámosai : Magyar korrajz : ELTeC edition	HU01117	1857	98093	medium	T1	low
Vas Gereben	1823-1868	M	36952007	A pörös atyafiak : Regény : ELTeC edition	HU02143	1860	70428	medium	T2	low
